[MAIN        ] Simulation started.
[34134623 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34134623 ms]
[34134724 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34134724 ms]
[34134824 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34134824 ms]
[34134925 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34134925 ms]
[34135026 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34135026 ms]
[SCENARIO    ] Resumed F2 production.
[34137416 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34137416 ms]
[34137417 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34137417 ms]
[34137669 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34137669 ms]
[34137817 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34137817 ms]
[34138070 ms][F3-DPT2     ] Produced P3 unit 25 (consumed 2 P1 and 1 P2) [34138070 ms]
[34138070 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34138070 ms]
[34138070 ms][F3-DPT1     ] Produced P3 unit 26 (consumed 2 P1 and 1 P2) [34138070 ms]
[34138218 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34138218 ms]
[34138219 ms][TRUCK3      ] Loaded 2 P2. Travelling to F3... [34138219 ms]
[34138321 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34138321 ms]
[34138321 ms][SHIP        ] Waiting to unload at F3. F3 P1: 6/10 [34138321 ms]
[34138321 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34138321 ms]
[34138425 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34138425 ms]
[34138469 ms][TRUCK3      ] Unloaded 2 P2 to F3. Returning to F2... [34138469 ms]
[34138525 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34138525 ms]
[34138619 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34138619 ms]
[34138628 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34138628 ms]
[34138728 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34138728 ms]
[34138869 ms][F3-DPT2     ] Produced P3 unit 27 (consumed 2 P1 and 1 P2) [34138869 ms]
[34138869 ms][F3-DPT1     ] Produced P3 unit 28 (consumed 2 P1 and 1 P2) [34138869 ms]
[34138870 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34138870 ms]
[SCENARIO    ] Ship out of commission...
[34139020 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34139020 ms]
[34139020 ms][TRUCK5      ] Loaded 2 P2. Travelling to F3... [34139020 ms]
[34139272 ms][TRUCK5      ] Unloaded 2 P2 to F3. Returning to F2... [34139272 ms]
[34139421 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34139421 ms]
[34139672 ms][F3-DPT2     ] Produced P3 unit 29 (consumed 2 P1 and 1 P2) [34139672 ms]
[34139672 ms][F3-DPT1     ] Produced P3 unit 30 (consumed 2 P1 and 1 P2) [34139672 ms]
[34139821 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34139821 ms]
[34139822 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34139822 ms]
[34140072 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34140072 ms]
[34140222 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34140222 ms]
[34140472 ms][F3-DPT1     ] Produced P3 unit 31 (consumed 2 P1 and 1 P2) [34140472 ms]
[34140474 ms][F3-DPT2     ] Produced P3 unit 32 (consumed 2 P1 and 1 P2) [34140474 ms]
[34140623 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34140623 ms]
[34140623 ms][TRUCK3      ] Loaded 2 P2. Travelling to F3... [34140623 ms]
[34140875 ms][TRUCK3      ] Unloaded 2 P2 to F3. Returning to F2... [34140875 ms]
[34141023 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34141023 ms]
[34141280 ms][F3-DPT1     ] Produced P3 unit 33 (consumed 2 P1 and 1 P2) [34141280 ms]
[34141424 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34141424 ms]
[34141424 ms][TRUCK1      ] Loaded 2 P2. Travelling to F3... [34141424 ms]
[34141675 ms][TRUCK1      ] Unloaded 2 P2 to F3. Returning to F2... [34141675 ms]
[34141824 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34141824 ms]
[SCENARIO    ] Ship resumed operation.
[34142030 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34142030 ms]
[34142030 ms][SHIP        ] Waiting to unload at F3. F3 P1: 1/10 [34142030 ms]
[34142030 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34142030 ms]
[34142132 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34142132 ms]
[34142225 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34142225 ms]
[34142225 ms][TRUCK1      ] Loaded 2 P2. Travelling to F3... [34142225 ms]
[34142233 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34142233 ms]
[34142280 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34142280 ms]
[34142333 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34142333 ms]
[34142434 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34142434 ms]
[34142477 ms][TRUCK1      ] Unloaded 2 P2 to F3. Returning to F2... [34142477 ms]
[34142532 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34142532 ms]
[34142532 ms][SHIP        ] Waiting to unload at F3. F3 P1: 2/10 [34142532 ms]
[34142537 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34142537 ms]
[34142625 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34142625 ms]
[34142637 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34142637 ms]
[34142681 ms][F3-DPT2     ] Produced P3 unit 34 (consumed 2 P1 and 1 P2) [34142681 ms]
[34142682 ms][F3-DPT1     ] Produced P3 unit 35 (consumed 2 P1 and 1 P2) [34142682 ms]
[34142739 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34142739 ms]
[34142784 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34142784 ms]
[34142839 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34142839 ms]
[34142943 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34142943 ms]
[34143026 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34143026 ms]
[34143026 ms][TRUCK2      ] Loaded 2 P2. Travelling to F3... [34143026 ms]
[34143034 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34143034 ms]
